"V1" "V2"
"258" 0.00682840900000002 -3.85151353
"259" 0.008863524 -3.85003308
"260" 0.010897921 -3.84855257
"261" 0.0129316 -3.847072
"262" 0.014964561 -3.84559137
"263" 0.016996804 -3.84411068
"264" 0.0190283289999999 -3.84262993
"265" 0.021059136 -3.84114912
"266" 0.023089225 -3.83966825
"267" 0.025118596 -3.83818732
"268" 0.0271472489999999 -3.83670633
"269" 0.029175184 -3.83522528
"270" 0.031202401 -3.83374417
"271" 0.0332288999999999 -3.832263
"272" 0.035254681 -3.83078177
"273" 0.037279744 -3.82930048
"274" 0.039304089 -3.82781913
"275" 0.0413277159999999 -3.82633772
"276" 0.0433506249999999 -3.82485625
"277" 0.045372816 -3.82337472
"278" 0.047394289 -3.82189313
"279" 0.049415044 -3.82041148
"280" 0.051435081 -3.81892977
"281" 0.0534544000000001 -3.817448
"282" 0.0554730010000001 -3.81596617
"283" 0.057490884 -3.81448428
"284" 0.059508049 -3.81300233
"285" 0.061524496 -3.81152032
"286" 0.0635402250000001 -3.81003825
"287" 0.065555236 -3.80855612
"288" 0.067569529 -3.80707393
"289" 0.0695831040000001 -3.80559168
"290" 0.0715959609999999 -3.80410937
"291" 0.0736080999999999 -3.802627
"292" 0.0756195209999999 -3.80114457
"293" 0.0776302239999999 -3.79966208
"294" 0.0796402089999999 -3.79817953
"295" 0.0816494759999999 -3.79669692
"296" 0.0836580249999999 -3.79521425
"297" 0.0856658559999999 -3.79373152
"298" 0.0876729689999999 -3.79224873
"299" 0.089679364 -3.79076588
"300" 0.0916850409999999 -3.78928297
"301" 0.09369 -3.7878
"302" 0.0956942409999999 -3.78631697
"303" 0.0976977639999999 -3.78483388
"304" 0.0997005689999999 -3.78335073
"305" 0.101702656 -3.78186752
"306" 0.103704025 -3.78038425
"307" 0.105704676 -3.77890092
"308" 0.107704609 -3.77741753
"309" 0.109703824 -3.77593408
"310" 0.111702321 -3.77445057
"311" 0.1137001 -3.772967
"312" 0.115697161 -3.77148337
"313" 0.117693504 -3.76999968
"314" 0.119689129 -3.76851593
"315" 0.121684036 -3.76703212
"316" 0.123678225 -3.76554825
"317" 0.125671696 -3.76406432
"318" 0.127664449 -3.76258033
"319" 0.129656484 -3.76109628
"320" 0.131647801 -3.75961217
"321" 0.1336384 -3.758128
"322" 0.135628281 -3.75664377
"323" 0.137617444 -3.75515948
"324" 0.139605889 -3.75367513
"325" 0.141593616 -3.75219072
"326" 0.143580625 -3.75070625
"327" 0.145566916 -3.74922172
"328" 0.147552489 -3.74773713
"329" 0.149537344 -3.74625248
"330" 0.151521481 -3.74476777
"331" 0.1535049 -3.743283
"332" 0.155487601 -3.74179817
"333" 0.157469584 -3.74031328
"334" 0.159450849 -3.73882833
"335" 0.161431396 -3.73734332
"336" 0.163411225 -3.73585825
"337" 0.165390336 -3.73437312
"338" 0.167368729 -3.73288793
"339" 0.169346404 -3.73140268
"340" 0.171323361 -3.72991737
"341" 0.1732996 -3.728432
"342" 0.175275121 -3.72694657
"343" 0.177249924 -3.72546108
"344" 0.179224009 -3.72397553
"345" 0.181197376 -3.72248992
"346" 0.183170025 -3.72100425
"347" 0.185141956 -3.71951852
"348" 0.187113169 -3.71803273
"349" 0.189083664 -3.71654688
"350" 0.191053441 -3.71506097
"351" 0.1930225 -3.713575
"352" 0.194990841 -3.71208897
"353" 0.196958464 -3.71060288
"354" 0.198925369 -3.70911673
"355" 0.200891556 -3.70763052
"356" 0.202857025 -3.70614425
"357" 0.204821776 -3.70465792
"358" 0.206785809 -3.70317153
"359" 0.208749124 -3.70168508
"360" 0.210711721 -3.70019857
"361" 0.2126736 -3.698712
"362" 0.214634761 -3.69722537
"363" 0.216595204 -3.69573868
"364" 0.218554929 -3.69425193
"365" 0.220513936 -3.69276512
"366" 0.222472225 -3.69127825
"367" 0.224429796 -3.68979132
"368" 0.226386649 -3.68830433
"369" 0.228342784 -3.68681728
"370" 0.230298201 -3.68533017
"371" 0.2322529 -3.683843
"372" 0.234206881 -3.68235577
"373" 0.236160144 -3.68086848
"374" 0.238112689 -3.67938113
"375" 0.240064516 -3.67789372
"376" 0.242015625 -3.67640625
"377" 0.243966016 -3.67491872
"378" 0.245915689 -3.67343113
"379" 0.247864644 -3.67194348
"380" 0.249812881 -3.67045577
"381" 0.2517604 -3.668968
"382" 0.253707201 -3.66748017
"383" 0.255653284 -3.66599228
"384" 0.257598649 -3.66450433
"385" 0.259543296 -3.66301632
"386" 0.261487225 -3.66152825
"387" 0.263430436 -3.66004012
"388" 0.265372929 -3.65855193
"389" 0.267314704 -3.65706368
"390" 0.269255761 -3.65557537
"391" 0.2711961 -3.654087
"392" 0.273135721 -3.65259857
"393" 0.275074624 -3.65111008
"394" 0.277012809 -3.64962153
"395" 0.278950276 -3.64813292
"396" 0.280887025 -3.64664425
"397" 0.282823056 -3.64515552
"398" 0.284758369 -3.64366673
"399" 0.286692964 -3.64217788
"400" 0.288626841 -3.64068897
"401" 0.29056 -3.6392
"402" 0.292492441 -3.63771097
"403" 0.294424164 -3.63622188
"404" 0.296355169 -3.63473273
"405" 0.298285456 -3.63324352
"406" 0.300215025 -3.63175425
"407" 0.302143876 -3.63026492
"408" 0.304072009 -3.62877553
"409" 0.305999424 -3.62728608
"410" 0.307926121 -3.62579657
"411" 0.3098521 -3.624307
"412" 0.311777361 -3.62281737
"413" 0.313701904 -3.62132768
"414" 0.315625729 -3.61983793
"415" 0.317548836 -3.61834812
"416" 0.319471225 -3.61685825
"417" 0.321392896 -3.61536832
"418" 0.323313849 -3.61387833
"419" 0.325234084 -3.61238828
"420" 0.327153601 -3.61089817
"421" 0.3290724 -3.609408
"422" 0.330990481 -3.60791777
"423" 0.332907844 -3.60642748
"424" 0.334824489 -3.60493713
"425" 0.336740416 -3.60344672
"426" 0.338655625 -3.60195625
"427" 0.340570116 -3.60046572
"428" 0.342483889 -3.59897513
"429" 0.344396944 -3.59748448
"430" 0.346309281 -3.59599377
"431" 0.3482209 -3.594503
"432" 0.350131801 -3.59301217
"433" 0.352041984 -3.59152128
"434" 0.353951449 -3.59003033
"435" 0.355860196 -3.58853932
"436" 0.357768225 -3.58704825
"437" 0.359675536 -3.58555712
"438" 0.361582129 -3.58406593
"439" 0.363488004 -3.58257468
"440" 0.365393161 -3.58108337
"441" 0.3672976 -3.579592
"442" 0.369201321 -3.57810057
"443" 0.371104324 -3.57660908
"444" 0.373006609 -3.57511753
"445" 0.374908176 -3.57362592
"446" 0.376809025 -3.57213425
"447" 0.378709156 -3.57064252
"448" 0.380608569 -3.56915073
"449" 0.382507264 -3.56765888
"450" 0.384405241 -3.56616697
"451" 0.3863025 -3.564675
"452" 0.388199041 -3.56318297
"453" 0.390094864 -3.56169088
"454" 0.391989969 -3.56019873
"455" 0.393884356 -3.55870652
"456" 0.395778025 -3.55721425
"457" 0.397670976 -3.55572192
"458" 0.399563209 -3.55422953
"459" 0.401454724 -3.55273708
"460" 0.403345521 -3.55124457
"461" 0.4052356 -3.549752
"462" 0.407124961 -3.54825937
"463" 0.409013604 -3.54676668
"464" 0.410901529 -3.54527393
"465" 0.412788736 -3.54378112
"466" 0.414675225 -3.54228825
"467" 0.416560996 -3.54079532
"468" 0.418446049 -3.53930233
"469" 0.420330384 -3.53780928
"470" 0.422214001 -3.53631617
"471" 0.4240969 -3.534823
"472" 0.425979081 -3.53332977
"473" 0.427860544 -3.53183648
"474" 0.429741289 -3.53034313
"475" 0.431621316 -3.52884972
"476" 0.433500625 -3.52735625
"477" 0.435379216 -3.52586272
"478" 0.437257089 -3.52436913
"479" 0.439134244 -3.52287548
"480" 0.441010681 -3.52138177
"481" 0.4428864 -3.519888
"482" 0.444761401 -3.51839417
"483" 0.446635684 -3.51690028
"484" 0.448509249 -3.51540633
"485" 0.450382096 -3.51391232
"486" 0.452254225 -3.51241825
"487" 0.454125636 -3.51092412
"488" 0.455996329 -3.50942993
"489" 0.457866304 -3.50793568
"490" 0.459735561 -3.50644137
"491" 0.4616041 -3.504947
"492" 0.463471921 -3.50345257
"493" 0.465339024 -3.50195808
"494" 0.467205409 -3.50046353
"495" 0.469071076 -3.49896892
"496" 0.470936025 -3.49747425
"497" 0.472800256 -3.49597952
"498" 0.474663769 -3.49448473
"499" 0.476526564 -3.49298988
"500" 0.478388641 -3.49149497
"501" 0.48025 -3.49
"502" 0.482110641 -3.48850497
"503" 0.483970564 -3.48700988
"504" 0.485829769 -3.48551473
"505" 0.487688256 -3.48401952
"506" 0.489546025 -3.48252425
"507" 0.491403076 -3.48102892
"508" 0.493259409 -3.47953353
"509" 0.495115024 -3.47803808
"510" 0.496969921 -3.47654257
"511" 0.4988241 -3.475047
"512" 0.500677561 -3.47355137
"513" 0.502530304 -3.47205568
"514" 0.504382329 -3.47055993
"515" 0.506233636 -3.46906412
"516" 0.508084225 -3.46756825
"517" 0.509934096 -3.46607232
"518" 0.511783249 -3.46457633
"519" 0.513631684 -3.46308028
"520" 0.515479401 -3.46158417
"521" 0.5173264 -3.460088
"522" 0.519172681 -3.45859177
"523" 0.521018244 -3.45709548
"524" 0.522863089 -3.45559913
"525" 0.524707216 -3.45410272
"526" 0.526550625 -3.45260625
"527" 0.528393316 -3.45110972
"528" 0.530235289 -3.44961313
"529" 0.532076544 -3.44811648
"530" 0.533917081 -3.44661977
"531" 0.5357569 -3.445123
"532" 0.537596001 -3.44362617
"533" 0.539434384 -3.44212928
"534" 0.541272049 -3.44063233
"535" 0.543108996 -3.43913532
"536" 0.544945225 -3.43763825
"537" 0.546780736 -3.43614112
"538" 0.548615529 -3.43464393
"539" 0.550449604 -3.43314668
"540" 0.552282961 -3.43164937
"541" 0.5541156 -3.430152
"542" 0.555947521 -3.42865457
"543" 0.557778724 -3.42715708
"544" 0.559609209 -3.42565953
"545" 0.561438976 -3.42416192
"546" 0.563268025 -3.42266425
"547" 0.565096356 -3.42116652
"548" 0.566923969 -3.41966873
"549" 0.568750864 -3.41817088
"550" 0.570577041 -3.41667297
"551" 0.5724025 -3.415175
"552" 0.574227241 -3.41367697
"553" 0.576051264 -3.41217888
"554" 0.577874569 -3.41068073
"555" 0.579697156 -3.40918252
"556" 0.581519025 -3.40768425
"557" 0.583340176 -3.40618592
"558" 0.585160609 -3.40468753
"559" 0.586980324 -3.40318908
"560" 0.588799321 -3.40169057
"561" 0.5906176 -3.400192
"562" 0.592435161 -3.39869337
"563" 0.594252004 -3.39719468
"564" 0.596068129 -3.39569593
"565" 0.597883536 -3.39419712
"566" 0.599698225 -3.39269825
"567" 0.601512196 -3.39119932
"568" 0.603325449 -3.38970033
"569" 0.605137984 -3.38820128
"570" 0.606949801 -3.38670217
"571" 0.6087609 -3.385203
"572" 0.610571281 -3.38370377
"573" 0.612380944 -3.38220448
"574" 0.614189889 -3.38070513
"575" 0.615998116 -3.37920572
"576" 0.617805625 -3.37770625
"577" 0.619612416 -3.37620672
"578" 0.621418489 -3.37470713
"579" 0.623223844 -3.37320748
"580" 0.625028481 -3.37170777
"581" 0.6268324 -3.370208
"582" 0.628635601 -3.36870817
"583" 0.630438084 -3.36720828
"584" 0.632239849 -3.36570833
"585" 0.634040896 -3.36420832
"586" 0.635841225 -3.36270825
"587" 0.637640836 -3.36120812
"588" 0.639439729 -3.35970793
"589" 0.641237904 -3.35820768
"590" 0.643035361 -3.35670737
"591" 0.6448321 -3.355207
"592" 0.646628121 -3.35370657
"593" 0.648423424 -3.35220608
"594" 0.650218009 -3.35070553
"595" 0.652011876 -3.34920492
"596" 0.653805025 -3.34770425
"597" 0.655597456 -3.34620352
"598" 0.657389169 -3.34470273
"599" 0.659180164 -3.34320188
"600" 0.660970441 -3.34170097
"601" 0.66276 -3.3402
"602" 0.664548841 -3.33869897
"603" 0.666336964 -3.33719788
"604" 0.668124369 -3.33569673
"605" 0.669911056 -3.33419552
"606" 0.671697025 -3.33269425
"607" 0.673482276 -3.33119292
"608" 0.675266809 -3.32969153
"609" 0.677050624 -3.32819008
"610" 0.678833721 -3.32668857
"611" 0.6806161 -3.325187
"612" 0.682397761 -3.32368537
"613" 0.684178704 -3.32218368
"614" 0.685958929 -3.32068193
"615" 0.687738436 -3.31918012
"616" 0.689517225 -3.31767825
"617" 0.691295296 -3.31617632
"618" 0.693072649 -3.31467433
"619" 0.694849284 -3.31317228
"620" 0.696625201 -3.31167017
"621" 0.6984004 -3.310168
"622" 0.700174881 -3.30866577
"623" 0.701948644 -3.30716348
"624" 0.703721689 -3.30566113
"625" 0.705494016 -3.30415872
"626" 0.707265625 -3.30265625
"627" 0.709036516 -3.30115372
"628" 0.710806689 -3.29965113
"629" 0.712576144 -3.29814848
"630" 0.714344881 -3.29664577
"631" 0.7161129 -3.295143
"632" 0.717880201 -3.29364017
"633" 0.719646784 -3.29213728
"634" 0.721412649 -3.29063433
"635" 0.723177796 -3.28913132
"636" 0.724942225 -3.28762825
"637" 0.726705936 -3.28612512
"638" 0.728468929 -3.28462193
"639" 0.730231204 -3.28311868
"640" 0.731992761 -3.28161537
"641" 0.7337536 -3.280112
"642" 0.735513721 -3.27860857
"643" 0.737273124 -3.27710508
"644" 0.739031809 -3.27560153
"645" 0.740789776 -3.27409792
"646" 0.742547025 -3.27259425
"647" 0.744303556 -3.27109052
"648" 0.746059369 -3.26958673
"649" 0.747814464 -3.26808288
"650" 0.749568841 -3.26657897
"651" 0.7513225 -3.265075
"652" 0.753075441 -3.26357097
"653" 0.754827664 -3.26206688
"654" 0.756579169 -3.26056273
"655" 0.758329956 -3.25905852
"656" 0.760080025 -3.25755425
"657" 0.761829376 -3.25604992
"658" 0.763578009 -3.25454553
"659" 0.765325924 -3.25304108
"660" 0.767073121 -3.25153657
"661" 0.7688196 -3.250032
"662" 0.770565361 -3.24852737
"663" 0.772310404 -3.24702268
"664" 0.774054729 -3.24551793
"665" 0.775798336 -3.24401312
"666" 0.777541225 -3.24250825
"667" 0.779283396 -3.24100332
"668" 0.781024849 -3.23949833
"669" 0.782765584 -3.23799328
"670" 0.784505601 -3.23648817
"671" 0.7862449 -3.234983
"672" 0.787983481 -3.23347777
"673" 0.789721344 -3.23197248
"674" 0.791458489 -3.23046713
"675" 0.793194916 -3.22896172
"676" 0.794930625 -3.22745625
"677" 0.796665616 -3.22595072
"678" 0.798399889 -3.22444513
"679" 0.800133444 -3.22293948
"680" 0.801866281 -3.22143377
"681" 0.8035984 -3.219928
"682" 0.805329801 -3.21842217
"683" 0.807060484 -3.21691628
"684" 0.808790449 -3.21541033
"685" 0.810519696 -3.21390432
"686" 0.812248225 -3.21239825
"687" 0.813976036 -3.21089212
"688" 0.815703129 -3.20938593
"689" 0.817429504 -3.20787968
"690" 0.819155161 -3.20637337
"691" 0.8208801 -3.204867
"692" 0.822604321 -3.20336057
"693" 0.824327824 -3.20185408
"694" 0.826050609 -3.20034753
"695" 0.827772676 -3.19884092
"696" 0.829494025 -3.19733425
"697" 0.831214656 -3.19582752
"698" 0.832934569 -3.19432073
"699" 0.834653764 -3.19281388
"700" 0.836372241 -3.19130697
"701" 0.83809 -3.1898
"702" 0.839807041 -3.18829297
"703" 0.841523364 -3.18678588
"704" 0.843238969 -3.18527873
"705" 0.844953856 -3.18377152
"706" 0.846668025 -3.18226425
"707" 0.848381476 -3.18075692
"708" 0.850094209 -3.17924953
"709" 0.851806224 -3.17774208
"710" 0.853517521 -3.17623457
"711" 0.8552281 -3.174727
"712" 0.856937961 -3.17321937
"713" 0.858647104 -3.17171168
"714" 0.860355529 -3.17020393
"715" 0.862063236 -3.16869612
"716" 0.863770225 -3.16718825
"717" 0.865476496 -3.16568032
"718" 0.867182049 -3.16417233
"719" 0.868886884 -3.16266428
"720" 0.870591001 -3.16115617
"721" 0.8722944 -3.159648
"722" 0.873997081 -3.15813977
"723" 0.875699044 -3.15663148
"724" 0.877400289 -3.15512313
"725" 0.879100816 -3.15361472
"726" 0.880800625 -3.15210625
"727" 0.882499716 -3.15059772
"728" 0.884198089 -3.14908913
"729" 0.885895744 -3.14758048
"730" 0.887592681 -3.14607177
"731" 0.8892889 -3.144563
"732" 0.890984401 -3.14305417
"733" 0.892679184 -3.14154528
"734" 0.894373249 -3.14003633
"735" 0.896066596 -3.13852732
"736" 0.897759225 -3.13701825
"737" 0.899451136 -3.13550912
"738" 0.901142329 -3.13399993
"739" 0.902832804 -3.13249068
"740" 0.904522561 -3.13098137
"741" 0.9062116 -3.129472
"742" 0.907899921 -3.12796257
"743" 0.909587524 -3.12645308
"744" 0.911274409 -3.12494353
"745" 0.912960576 -3.12343392
"746" 0.914646025 -3.12192425
"747" 0.916330756 -3.12041452
"748" 0.918014769 -3.11890473
"749" 0.919698064 -3.11739488
"750" 0.921380641 -3.11588497
"751" 0.9230625 -3.114375
"752" 0.924743641 -3.11286497
"753" 0.926424064 -3.11135488
"754" 0.928103769 -3.10984473
"755" 0.929782756 -3.10833452
"756" 0.931461025 -3.10682425
"757" 0.933138576 -3.10531392
"758" 0.934815409 -3.10380353
"759" 0.936491524 -3.10229308
"760" 0.938166921 -3.10078257
"761" 0.9398416 -3.099272
"762" 0.941515561 -3.09776137
"763" 0.943188804 -3.09625068
"764" 0.944861329 -3.09473993
"765" 0.946533136 -3.09322912
"766" 0.948204225 -3.09171825
"767" 0.949874596 -3.09020732
"768" 0.951544249 -3.08869633
"769" 0.953213184 -3.08718528
"770" 0.954881401 -3.08567417
"771" 0.9565489 -3.084163
"772" 0.958215681 -3.08265177
"773" 0.959881744 -3.08114048
"774" 0.961547089 -3.07962913
"775" 0.963211716 -3.07811772
"776" 0.964875625 -3.07660625
"777" 0.966538816 -3.07509472
"778" 0.968201289 -3.07358313
"779" 0.969863044 -3.07207148
"780" 0.971524081 -3.07055977
"781" 0.9731844 -3.069048
"782" 0.974844001 -3.06753617
"783" 0.976502884 -3.06602428
"784" 0.978161049 -3.06451233
"785" 0.979818496 -3.06300032
"786" 0.981475225 -3.06148825
"787" 0.983131236 -3.05997612
"788" 0.984786529 -3.05846393
"789" 0.986441104 -3.05695168
"790" 0.988094961 -3.05543937
"791" 0.9897481 -3.053927
"792" 0.991400521 -3.05241457
"793" 0.993052224 -3.05090208
"794" 0.994703209 -3.04938953
"795" 0.996353476 -3.04787692
"796" 0.998003025 -3.04636425
"797" 0.999651856 -3.04485152
"798" 1.001299969 -3.04333873
"799" 1.002947364 -3.04182588
"800" 1.004594041 -3.04031297
"801" 1.00624 -3.0388
"802" 1.007885241 -3.03728697
"803" 1.009529764 -3.03577388
"804" 1.011173569 -3.03426073
"805" 1.012816656 -3.03274752
"806" 1.014459025 -3.03123425
"807" 1.016100676 -3.02972092
"808" 1.017741609 -3.02820753
"809" 1.019381824 -3.02669408
"810" 1.021021321 -3.02518057
"811" 1.0226601 -3.023667
"812" 1.024298161 -3.02215337
"813" 1.025935504 -3.02063968
"814" 1.027572129 -3.01912593
"815" 1.029208036 -3.01761212
"816" 1.030843225 -3.01609825
"817" 1.032477696 -3.01458432
"818" 1.034111449 -3.01307033
"819" 1.035744484 -3.01155628
